SlotId,x1,y1,x2,y2,x3,y3,x4,y4
1,199,568,311,710,391,637,276,509
2,286,500,401,626,461,569,349,452
3,360,444,420,401,535,504,480,557
4,433,390,548,492,603,443,486,351
5,496,341,613,437,660,396,544,308
6,26,348,104,443,174,397,95,306
7,108,304,184,390,248,348,169,269
8,181,261,261,343,316,305,239,229
9,247,223,331,299,386,264,303,192
10,309,188,394,258,442,228,357,159
11,605,41,652,66,720,19,677,0
12,658,71,704,96,771,44,727,24
13,708,98,759,123,831,69,780,46
14,833,72,889,99,819,155,764,124
15,897,104,826,161,885,190,956,130

