SlotId,x1,y1,x2,y2,x3,y3,x4,y4
1,68,505,136,704,243,658,170,473
2,185,468,259,648,351,605,272,436
3,291,428,366,592,455,554,370,399
4,378,395,461,550,538,512,454,367
5,459,362,529,337,619,474,547,509
6,19,343,111,320,60,194,0,204
7,75,192,153,172,210,290,122,317
8,163,168,241,153,299,266,221,290
9,253,150,316,138,377,244,307,264
10,329,134,389,122,458,220,386,242
11,689,77,723,118,817,86,781,47
12,728,121,768,167,863,129,820,88
13,773,169,814,214,909,176,867,132
14,818,217,912,181,959,226,862,269
15,866,273,915,328,960,305,960,233
